AbsT,0
2016-03-15 09:40:05,False
2016-03-15 09:40:10,False
2016-03-15 09:40:15,False
2016-03-15 09:40:20,False
2016-03-15 09:40:25,False
2016-03-15 09:40:30,False
2016-03-15 09:40:35,False
2016-03-15 09:40:40,False
2016-03-15 09:40:45,False
2016-03-15 09:40:50,False
2016-03-15 09:40:55,False
2016-03-15 09:41:00,False
2016-03-15 09:41:05,False
2016-03-15 09:41:10,False
2016-03-15 09:41:15,True
2016-03-15 09:41:20,True
2016-03-15 09:41:25,True
2016-03-15 09:41:30,True
2016-03-15 09:41:35,True
2016-03-15 09:41:40,True
2016-03-15 09:41:45,True
2016-03-15 09:41:50,True
2016-03-15 09:41:55,True
2016-03-15 09:42:00,True
2016-03-15 09:42:05,True
2016-03-15 09:42:10,True
2016-03-15 09:42:15,True
2016-03-15 09:42:20,True
2016-03-15 09:42:25,True
2016-03-15 09:42:30,True
2016-03-15 09:42:35,True
2016-03-15 09:42:40,True
2016-03-15 09:42:45,True
2016-03-15 09:42:50,True
2016-03-15 09:42:55,True
2016-03-15 09:43:00,True
2016-03-15 09:43:05,True
2016-03-15 09:43:10,True
2016-03-15 09:43:15,True
2016-03-15 09:43:20,True
2016-03-15 09:43:25,True
2016-03-15 09:43:30,True
2016-03-15 09:43:35,True
2016-03-15 09:43:40,True
2016-03-15 09:43:45,True
2016-03-15 09:43:50,True
2016-03-15 09:43:55,True
2016-03-15 09:44:00,True
2016-03-15 09:44:05,True
2016-03-15 09:44:10,True
2016-03-15 09:44:15,True
2016-03-15 09:44:20,True
2016-03-15 09:44:25,True
2016-03-15 09:44:30,True
2016-03-15 09:44:35,True
2016-03-15 09:44:40,True
2016-03-15 09:44:45,True
2016-03-15 09:44:50,True
2016-03-15 09:44:55,True
2016-03-15 09:45:00,True
2016-03-15 09:45:05,True
2016-03-15 09:45:10,True
2016-03-15 09:45:15,True
2016-03-15 09:45:20,True
2016-03-15 09:45:25,True
2016-03-15 09:45:30,True
2016-03-15 09:45:35,True
2016-03-15 09:45:40,True
2016-03-15 09:45:45,True
2016-03-15 09:45:50,True
2016-03-15 09:45:55,True
2016-03-15 09:46:00,True
2016-03-15 09:46:05,True
2016-03-15 09:46:10,True
2016-03-15 09:46:15,True
2016-03-15 09:46:20,True
2016-03-15 09:46:25,True
2016-03-15 09:46:30,True
2016-03-15 09:46:35,True
2016-03-15 09:46:40,True
2016-03-15 09:46:45,True
2016-03-15 09:46:50,True
2016-03-15 09:46:55,True
2016-03-15 09:47:00,True
2016-03-15 09:47:05,True
2016-03-15 09:47:10,True
2016-03-15 09:47:15,True
2016-03-15 09:47:20,True
2016-03-15 09:47:25,True
2016-03-15 09:47:30,True
2016-03-15 09:47:35,True
2016-03-15 09:47:40,True
2016-03-15 09:47:45,True
2016-03-15 09:47:50,True
2016-03-15 09:47:55,True
2016-03-15 09:48:00,True
2016-03-15 09:48:05,True
2016-03-15 09:48:10,True
2016-03-15 09:48:15,True
2016-03-15 09:48:20,True
2016-03-15 09:48:25,True
2016-03-15 09:48:30,True
2016-03-15 09:48:35,True
2016-03-15 09:48:40,False
2016-03-15 09:48:45,False
2016-03-15 09:48:50,False
2016-03-15 09:48:55,False
2016-03-15 09:49:00,False
2016-03-15 09:49:05,False
2016-03-15 09:49:10,False
2016-03-15 09:49:15,False
2016-03-15 09:49:20,False
2016-03-15 09:49:25,False
2016-03-15 09:49:30,False
2016-03-15 09:49:35,False
2016-03-15 09:49:40,False
2016-03-15 09:49:45,False
2016-03-15 09:49:50,True
2016-03-15 09:49:55,True
2016-03-15 09:50:00,True
2016-03-15 09:50:05,True
2016-03-15 09:50:10,True
2016-03-15 09:50:15,True
2016-03-15 09:50:20,True
2016-03-15 09:50:25,True
2016-03-15 09:50:30,True
2016-03-15 09:50:35,True
2016-03-15 09:50:40,True
2016-03-15 09:50:45,True
2016-03-15 09:50:50,True
2016-03-15 09:50:55,True
2016-03-15 09:51:00,True
2016-03-15 09:51:05,True
2016-03-15 09:51:10,True
2016-03-15 09:51:15,True
2016-03-15 09:51:20,True
2016-03-15 09:51:25,True
2016-03-15 09:51:30,True
2016-03-15 09:51:35,True
2016-03-15 09:51:40,True
2016-03-15 09:51:45,True
2016-03-15 09:51:50,True
2016-03-15 09:51:55,True
2016-03-15 09:52:00,True
2016-03-15 09:52:05,True
2016-03-15 09:52:10,True
2016-03-15 09:52:15,True
2016-03-15 09:52:20,True
2016-03-15 09:52:25,True
2016-03-15 09:52:30,True
2016-03-15 09:52:35,True
2016-03-15 09:52:40,True
2016-03-15 09:52:45,False
2016-03-15 09:52:50,False
2016-03-15 09:52:55,False
2016-03-15 09:53:00,False
2016-03-15 09:53:05,False
2016-03-15 09:53:10,False
2016-03-15 09:53:15,False
2016-03-15 09:53:20,True
2016-03-15 09:53:25,True
2016-03-15 09:53:30,True
2016-03-15 09:53:35,True
2016-03-15 09:53:40,True
2016-03-15 09:53:45,True
2016-03-15 09:53:50,True
2016-03-15 09:53:55,True
2016-03-15 09:54:00,True
2016-03-15 09:54:05,True
2016-03-15 09:54:10,True
2016-03-15 09:54:15,True
2016-03-15 09:54:20,True
2016-03-15 09:54:25,True
2016-03-15 09:54:30,True
2016-03-15 09:54:35,True
2016-03-15 09:54:40,True
2016-03-15 09:54:45,True
2016-03-15 09:54:50,True
2016-03-15 09:54:55,True
2016-03-15 09:55:00,True
2016-03-15 09:55:05,True
2016-03-15 09:55:10,True
2016-03-15 09:55:15,True
2016-03-15 09:55:20,True
2016-03-15 09:55:25,True
2016-03-15 09:55:30,True
2016-03-15 09:55:35,True
2016-03-15 09:55:40,True
2016-03-15 09:55:45,True
2016-03-15 09:55:50,True
2016-03-15 09:55:55,True
2016-03-15 09:56:00,True
2016-03-15 09:56:05,True
2016-03-15 09:56:10,True
2016-03-15 09:56:15,True
2016-03-15 09:56:20,False
2016-03-15 09:56:25,False
2016-03-15 09:56:30,False
2016-03-15 09:56:35,True
2016-03-15 09:56:40,True
2016-03-15 09:56:45,True
2016-03-15 09:56:50,True
2016-03-15 09:56:55,True
2016-03-15 09:57:00,True
2016-03-15 09:57:05,True
2016-03-15 09:57:10,True
2016-03-15 09:57:15,True
2016-03-15 09:57:20,True
2016-03-15 09:57:25,True
2016-03-15 09:57:30,True
2016-03-15 09:57:35,True
2016-03-15 09:57:40,True
2016-03-15 09:57:45,True
2016-03-15 09:57:50,True
2016-03-15 09:57:55,True
2016-03-15 09:58:00,True
2016-03-15 09:58:05,True
2016-03-15 09:58:10,True
2016-03-15 09:58:15,True
2016-03-15 09:58:20,True
2016-03-15 09:58:25,True
2016-03-15 09:58:30,True
2016-03-15 09:58:35,True
2016-03-15 09:58:40,True
2016-03-15 09:58:45,True
2016-03-15 09:58:50,True
2016-03-15 09:58:55,False
2016-03-15 09:59:00,False
2016-03-15 09:59:05,False
2016-03-15 09:59:10,False
2016-03-15 09:59:15,False
2016-03-15 09:59:20,False
2016-03-15 09:59:25,False
2016-03-15 09:59:30,False
2016-03-15 09:59:35,True
2016-03-15 09:59:40,True
2016-03-15 09:59:45,True
