AbsT,status
2016-03-15 09:23:40.134,Off
2016-03-15 09:23:44.766,Off
2016-03-15 09:23:49.354,Off
2016-03-15 09:23:52.345,Off
2016-03-15 09:23:55.833,Off
2016-03-15 09:24:00.699,Off
2016-03-15 09:24:03.941,Off
2016-03-15 09:24:08.803,Off
2016-03-15 09:24:12.543,Off
2016-03-15 09:24:16.783,Off
2016-03-15 09:24:20.522,Off
2016-03-15 09:24:24.388,Off
2016-03-15 09:24:28.753,Off
2016-03-15 09:24:32.743,Off
2016-03-15 09:24:36.613,Off
2016-03-15 09:24:40.847,Off
2016-03-15 09:24:44.587,Off
2016-03-15 09:24:48.327,Off
2016-03-15 09:24:52.567,Off
2016-03-15 09:24:55.932,Off
2016-03-15 09:25:00.422,Off
2016-03-15 09:25:04.164,Off
2016-03-15 09:25:08.154,Off
2016-03-15 09:25:12.894,Off
2016-03-15 09:25:16.259,Off
2016-03-15 09:25:20.499,Off
2016-03-15 09:25:24.488,Off
2016-03-15 09:25:28.869,Off
2016-03-15 09:25:32.734,Off
2016-03-15 09:25:35.958,Off
2016-03-15 09:25:41.073,Off
2016-03-15 09:25:44.313,Off
2016-03-15 09:25:48.428,Off
2016-03-15 09:25:52.922,Off
2016-03-15 09:25:56.033,Off
2016-03-15 09:26:00.773,Off
2016-03-15 09:26:04.513,Off
2016-03-15 09:26:08.503,Off
2016-03-15 09:26:17.867,Off
2016-03-15 09:26:24.972,Off
2016-03-15 09:26:25.087,Off
2016-03-15 09:26:26.201,Off
2016-03-15 09:26:28.317,Off
2016-03-15 09:26:32.932,Off
2016-03-15 09:26:36.423,Off
2016-03-15 09:26:40.026,Off
2016-03-15 09:26:44.391,Off
2016-03-15 09:26:48.506,Off
2016-03-15 09:26:52.620,Off
2016-03-15 09:26:56.860,Off
2016-03-15 09:27:00.852,Off
2016-03-15 09:27:04.455,Off
2016-03-15 09:27:08.445,Off
2016-03-15 09:27:12.935,Off
2016-03-15 09:27:16.935,Off
2016-03-15 09:27:20.906,Off
2016-03-15 09:27:24.394,Off
2016-03-15 09:27:28.884,Off
2016-03-15 09:27:32.249,Off
2016-03-15 09:27:35.990,Off
2016-03-15 09:27:40.354,Off
2016-03-15 09:27:44.844,Off
2016-03-15 09:27:47.834,Off
2016-03-15 09:27:52.459,Off
2016-03-15 09:27:56.814,Off
2016-03-15 09:28:00.054,Off
2016-03-15 09:28:04.669,Off
2016-03-15 09:28:08.283,Off
2016-03-15 09:28:12.398,Off
2016-03-15 09:28:17.139,Off
2016-03-15 09:28:20.753,Off
2016-03-15 09:28:24.618,Off
2016-03-15 09:28:28.233,Off
2016-03-15 09:28:32.473,Off
2016-03-15 09:28:36.337,Off
2016-03-15 09:28:40.578,Off
2016-03-15 09:28:45.193,Off
2016-03-15 09:28:48.932,Off
2016-03-15 09:28:51.922,Off
2016-03-15 09:28:56.662,Off
2016-03-15 09:29:00.767,Off
2016-03-15 09:29:04.372,Off
2016-03-15 09:29:08.362,Off
2016-03-15 09:29:12.226,Off
2016-03-15 09:29:16.341,Off
2016-03-15 09:29:20.706,Off
2016-03-15 09:29:25.071,Off
2016-03-15 09:29:28.311,Off
2016-03-15 09:29:32.551,Off
2016-03-15 09:29:36.041,Off
2016-03-15 09:29:40.156,Off
2016-03-15 09:29:44.770,Off
2016-03-15 09:29:48.635,Off
2016-03-15 09:29:52.375,Off
2016-03-15 09:29:56.740,Off
2016-03-15 09:30:00.105,Off
2016-03-15 09:30:04.469,Off
2016-03-15 09:30:08.085,Off
2016-03-15 09:30:12.949,Off
2016-03-15 09:30:15.939,Off
2016-03-15 09:30:20.429,Off
2016-03-15 09:30:24.919,Off
2016-03-15 09:30:27.908,Off
2016-03-15 09:30:32.149,Off
2016-03-15 09:30:36.388,Off
2016-03-15 09:30:39.878,Off
2016-03-15 09:30:44.243,Off
2016-03-15 09:30:49.108,Off
2016-03-15 09:30:52.723,Off
2016-03-15 09:30:56.588,Off
2016-03-15 09:31:00.203,Off
2016-03-15 09:31:04.567,Off
2016-03-15 09:31:08.808,Off
2016-03-15 09:31:11.922,Off
2016-03-15 09:31:16.038,Off
2016-03-15 09:31:20.027,Off
2016-03-15 09:31:24.267,Off
2016-03-15 09:31:28.506,Off
2016-03-15 09:31:32.121,Off
2016-03-15 09:31:36.611,Off
2016-03-15 09:31:39.976,Off
2016-03-15 09:31:44.717,Off
2016-03-15 09:31:48.706,Off
2016-03-15 09:31:52.946,Off
2016-03-15 09:31:56.311,Off
2016-03-15 09:32:00.058,Off
2016-03-15 09:32:04.541,Off
2016-03-15 09:32:08.280,Off
2016-03-15 09:32:11.896,Off
2016-03-15 09:32:16.260,Off
2016-03-15 09:32:20.250,Off
2016-03-15 09:32:24.240,Off
2016-03-15 09:32:28.230,Off
2016-03-15 09:32:32.220,Off
